Model,TumourType,Treatment,Treatment target,Treatment type,BestResponse,Day_BestResponse,BestAvgResponse,Day_BestAvgResponse,TimeToDouble,Day_Last,ResponseCategory
X-1993,NSCLC,untreated,"UNKNOWN,Untreated",single,238.3,21,24.9,11,11.0,31,PD
X-2017,NSCLC,untreated,"UNKNOWN,Untreated",single,361.0,21,104.1,14,8.4,29,PD
X-2026,PDAC,untreated,"UNKNOWN,Untreated",single,333.1,21,50.3,13,15.6,28,PD
X-2042,NSCLC,untreated,"UNKNOWN,Untreated",single,53.7,22,24.7,15,24.5,49,PD
X-2043,PDAC,untreated,"UNKNOWN,Untreated",single,310.5,22,77.3,11,6.4,24,PD
X-2081,PDAC,untreated,"UNKNOWN,Untreated",single,697.6,22,116.3,11,5.6,22,PD
X-2082,NSCLC,untreated,"UNKNOWN,Untreated",single,66.2,21,29.2,11,24.1,45,PD
X-2088,NSCLC,untreated,"UNKNOWN,Untreated",single,477.6,11,243.8,11,7.0,11,PD
X-2094,NSCLC,untreated,"UNKNOWN,Untreated",single,592.8,17,151.4,14,5.4,17,PD
X-2145,CRC,untreated,"UNKNOWN,Untreated",single,192.6,24,83.0,13,6.5,40,PD
X-2163,CM,untreated,"UNKNOWN,Untreated",single,183.8,23,70.8,12,10.9,30,PD
X-2182,CRC,untreated,"UNKNOWN,Untreated",single,336.3,21,55.2,12,10.6,21,PD
X-2195,BRCA,untreated,"UNKNOWN,Untreated",single,289.5,27,77.3,12,7.7,37,PD
X-2239,CRC,untreated,"UNKNOWN,Untreated",single,115.5,21,29.7,13,19.1,43,PD
X-2306,CM,untreated,"UNKNOWN,Untreated",single,241.6,20,62.0,12,8.5,27,PD
X-2339,PDAC,untreated,"UNKNOWN,Untreated",single,35.0,21,12.1,13,36.5,91,PD
X-2344,BRCA,untreated,"UNKNOWN,Untreated",single,276.1,13,113.1,13,7.0,13,PD
X-2353,BRCA,untreated,"UNKNOWN,Untreated",single,131.1,21,32.4,14,16.3,56,PD
X-2374,CRC,untreated,"UNKNOWN,Untreated",single,132.2,23,26.0,14,16.0,35,PD
X-2403,CRC,untreated,"UNKNOWN,Untreated",single,217.1,21,62.6,14,12.2,28,PD
X-2428,PDAC,untreated,"UNKNOWN,Untreated",single,-58.3,78,-34.4,99,99.0,99,PR
X-2470,PDAC,untreated,"UNKNOWN,Untreated",single,133.9,20,37.6,12,16.3,33,PD
X-2483,CRC,untreated,"UNKNOWN,Untreated",single,80.5,21,19.9,11,35.2,70,PD
X-2484,CRC,untreated,"UNKNOWN,Untreated",single,86.8,21,31.0,11,22.7,63,PD
X-2487,BRCA,untreated,"UNKNOWN,Untreated",single,407.1,18,96.9,11,6.0,18,PD
X-2524,BRCA,untreated,"UNKNOWN,Untreated",single,645.2,10,251.0,10,3.3,10,PD
